ID,name,city,country,venue,startDate,endDate,description,passPrice,availablePasses
2f9b218e-065d-4e6f-ae1b-74d177de5786,SAP Sapphire 2026,Orlando,USA,Orange County Convention Center,2026-05-19,2026-05-21,"SAP's flagship customer conference covering business AI, cloud ERP, and supply chain innovation",2495.00,800
4505f22c-817c-4db1-841c-afa9351b93ca,SAP Sapphire 2027,Orlando,USA,Orange County Convention Center,2027-05-18,2027-05-20,"SAP's flagship customer conference covering business AI, cloud ERP, and supply chain innovation",2495.00,1000
7310e7ab-cd34-4bb5-94f2-2656a7b4928d,SAP TechEd 2026,Berlin,Germany,CityCube Berlin,2026-11-17,2026-11-19,Annual SAP technology event for developers and architects,1495.00,600
f0a10d70-b46f-4594-b272-3b19e300bcc4,SAP TechEd 2027,Las Vegas,USA,The Venetian,2027-10-26,2027-10-28,Annual SAP technology event for developers and architects,1495.00,600
cb33524f-5416-4959-bc15-7bd3f70884c9,SAP DKOM 2027,Mannheim,Germany,SAP Arena,2027-03-09,2027-03-12,SAP company-wide kickoff meeting for employees,0.00,5000
a1b2c3d4-e5f6-7890-abcd-ef1234567890,ReCAP 2026,St. Leon-Rot,Germany,SAP University (ROT03),2026-07-15,2026-07-16,"Annual CAP community event featuring talks, workshops, and hands-on sessions for CAP developers",0.00,400
b2c3d4e5-f6a7-8901-bcde-f12345678901,ReCAP 2027,St. Leon-Rot,Germany,SAP University (ROT03),2027-07-14,2027-07-15,"Annual CAP community event featuring talks, workshops, and hands-on sessions for CAP developers",0.00,400
c3d4e5f6-a7b8-9012-cdef-123456789012,Taylor Swift - Eras Tour,London,UK,Wembley Stadium,2026-08-15,2026-08-15,Taylor Swift's record-breaking Eras Tour celebrating her musical journey across all albums,250.00,90000
d4e5f6a7-b8c9-0123-defa-234567890123,Coldplay - Music of the Spheres,Berlin,Germany,Olympiastadion Berlin,2026-09-05,2026-09-05,"Coldplay's spectacular Music of the Spheres World Tour with LED wristbands, fireworks, and confetti cannons",180.00,70000
e5f6a7b8-c9d0-1234-efab-345678901234,Beyoncé - Renaissance World Tour,Paris,France,Stade de France,2026-10-10,2026-10-10,Beyoncé's Renaissance World Tour featuring her iconic Renaissance album with dazzling visuals and choreography,300.00,80000
f6a7b8c9-d0e1-2345-fabc-456789012345,Rolling Stones - Hackney Diamonds Tour,New York,USA,Madison Square Garden,2026-11-20,2026-11-20,The Rolling Stones' Hackney Diamonds Tour supporting their first studio album in 18 years,350.00,20000
a7b8c9d0-e1f2-3456-abcd-567890123456,FIFA World Cup 2026 Final,New York,USA,MetLife Stadium,2026-07-19,2026-07-19,The grand finale of the 2026 FIFA World Cup hosted across USA, Canada, and Mexico,800.00,82500
b8c9d0e1-f2a3-4567-bcde-678901234567,Super Bowl LXI,Los Angeles,USA,SoFi Stadium,2027-02-07,2027-02-07,The 61st Super Bowl championship game of the NFL season,1200.00,70000
c9d0e1f2-a3b4-5678-cdef-789012345678,Wimbledon 2027 Finals,London,UK,All England Club,2027-07-13,2027-07-13,The prestigious grass-court Grand Slam tennis tournament final at the All England Club,500.00,15000
d0e1f2a3-b4c5-6789-defa-890123456789,Formula 1 Monaco Grand Prix 2027,Monte Carlo,Monaco,Circuit de Monaco,2027-05-23,2027-05-25,The iconic Formula 1 street circuit race through the narrow streets of Monaco,650.00,37000
e1f2a3b4-c5d6-7890-efab-901234567890,UEFA Champions League Final 2027,Munich,Germany,Allianz Arena,2027-05-31,2027-05-31,The pinnacle of European club football - UEFA Champions League Final,600.00,69000
f2a3b4c5-d6e7-8901-fabc-012345678901,La Traviata,Milan,Italy,Teatro alla Scala,2026-12-07,2026-12-07,"Verdi's beloved opera of love and sacrifice, opening the prestigious La Scala season",180.00,2000
a3b4c5d6-e7f8-9012-abcd-123456789012,The Magic Flute,Vienna,Austria,Wiener Staatsoper,2026-10-25,2026-10-25,"Mozart's enchanting singspiel performed at the world-renowned Vienna State Opera",150.00,1700
b4c5d6e7-f8a9-0123-bcde-234567890123,Carmen,Seville,Spain,Teatro de la Maestranza,2027-02-14,2027-02-14,"Bizet's passionate opera set in Seville, performed at the city that inspired it",120.00,1800
c5d6e7f8-a9b0-1234-cdef-345678901234,Aida,Verona,Italy,Arena di Verona,2027-07-10,2027-07-10,"Verdi's grand opera spectacle performed in the iconic Roman amphitheatre under the stars",200.00,15000
d6e7f8a9-b0c1-2345-defa-456789012345,Google I/O 2027,Mountain View,USA,Shoreline Amphitheatre,2027-05-11,2027-05-13,"Google's annual developer conference showcasing the latest in AI, Android, and cloud technology",299.00,7000
e7f8a9b0-c1d2-3456-efab-567890123456,Apple WWDC 2027,Cupertino,USA,Apple Park,2027-06-07,2027-06-11,Apple's Worldwide Developers Conference unveiling the latest OS and developer platform updates,1999.00,5000
f8a9b0c1-d2e3-4567-fabc-678901234567,Microsoft Build 2027,Seattle,USA,Seattle Convention Center,2027-05-18,2027-05-20,"Microsoft's developer conference focused on AI, Azure, and developer tooling",799.00,6000
a9b0c1d2-e3f4-5678-abcd-789012345678,AWS re:Invent 2026,Las Vegas,USA,The Venetian,2026-12-01,2026-12-05,"Amazon Web Services' annual cloud computing conference with 300+ sessions and hands-on labs",1799.00,50000
b0c1d2e3-f4a5-6789-bcde-890123456789,KubeCon + CloudNativeCon 2027,Amsterdam,Netherlands,RAI Amsterdam,2027-04-01,2027-04-04,The premier conference for cloud native computing featuring Kubernetes and CNCF projects,999.00,12000
